File Name,Sentiment,Support Count,Oppose Count,Mixed Count,Reasons for Support,Reasons for Oppose,Prediction
09-12-2017audio_6ZA-2017-210-CU-1A.txt,Supportive,38,4,8,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-17-16audio_13VTT-73387.txt,Supportive,126,10,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-27-16audio_7VTT-72813.txt,Supportive,30,4,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
05-16-2017audio_4DIR-2016-1374-CCMP-1A.txt,Supportive,24,12,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-21-17audio_8CPC-2017-3900.txt,Supportive,54,12,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
03-28-2013audio_04CPC12-2405.txt,Supportive,74,12,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-17-16audio_11CPC-2015-2424.txt,Supportive,20,10,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
WLA05-21-14audio_05APCW13-2800.txt,Supportive,23,6,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
04-26-2017audio_4Dir-2016-3168.txt,Supportive,40,16,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-14-17audio_10CPC-2016-3608.txt,Supportive,54,10,20,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
NV12-06-12audio_04ZA11-1408.txt,Supportive,36,22,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
02-24-2016audio_3ZA-2014-3054-ZAD-1A.txt,Supportive,35,17,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
02-14-2017audio_8APCC-2016-3327.txt,Supportive,8,4,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
05-09-12audio_04ZA11-2114.txt,Supportive,68,2,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
03-22-2011audio_03DIR10-359.txt,Supportive,18,6,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
06-13-2013audio_08DIR12-2218.txt,Opposed,2,8,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Denied
WLA08-15-12audio_05APCW10-1087.txt,Supportive,31,2,6,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
06-13-2013audio_04CPC13-226.txt,Supportive,42,7,9,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-14-17audio_8CPC-2014-2906.txt,Supportive,34,2,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-26-17audio_9DIR-2016-1368.txt,Supportive,12,0,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-10-16audio_8CPC-2015-896.txt,Supportive,168,8,8,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
03-22-2011audio_07DIR09-2189.txt,Supportive,32,8,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-27-16audio_6CPC-2015-300.txt,Supportive,42,4,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
02-23-17audio_5aCPC-2015-4613.txt,Supportive,46,12,10,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
08-10-2017audio_9-10VTT-74510andCPC-2016-3312.txt,Supportive,164,8,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
SV08-11-2011audio_03APCSV10-2881.txt,Supportive,1,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-11-2014audio_07CPC14-1759.txt,Supportive,19,0,1,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
01-05-10audio_06APCW10-2130.txt,Supportive,28,12,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
03-22-2017audio_4Dir-2016-3168.txt,Supportive,98,26,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-21-2013audio_05CPC13-555.txt,Supportive,22,4,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-27-16audio_10DIR-2015-3578.txt,Supportive,6,4,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
03-10-2011audio_05CPC09-3488.txt,Supportive,53,7,8,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
03-23-2017audio_6CPC-2013-1595.txt,Supportive,60,12,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-13-13audio_06DIR10-2686.txt,Supportive,48,6,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-27-16audio_8-9VTT-73939andCPC-2015-4184.txt,Supportive,204,44,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
09-07-2017audio_6APCNV-2016-565.txt,Supportive,8,6,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
NV08-15-13audio_03APCNV13-1187.txt,Supportive,4,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
06-13-2013audio_05CPC13-72.txt,Supportive,16,0,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
08-08-2017audio_6ZA-2017-210-CU-1A.txt,Supportive,94,22,6,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
02-14-2017audio_7APCC-2015-3286.txt,Unclear,0,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
10-25-2012audio_07CPC12-1225.txt,Opposed,0,2,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Denied
06-22-2017audio_8DIR-2017-298.txt,Supportive,24,16,8,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
02-16-2017audio_5APCNV-2015-2763.txt,Unclear,0,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
07-13-2017audio_8DIR-2016-4160.txt,Supportive,8,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
WLA07-03-13audio_04TT-72167.txt,Supportive,18,10,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-13-16audio_7CPC-2016-1083.txt,Supportive,114,8,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
SV020912audio_04APCSV11-1192.txt,Supportive,16,2,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
04-25-2017audio_7DIR-2016-3612.txt,Supportive,28,2,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
WLA01-20-16audio_5AA-2014-2269-PMLA-CC-1A_ZA-2014-2373-CDP-MEL-1A.txt,Supportive,12,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-14-17audio_9CPC-2014-2590.txt,Supportive,30,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
03-16-11audio_04APCW09-3151.txt,Supportive,38,10,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
07-14-2011audio_04DIR09-2065.txt,Supportive,14,0,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
08-08-2013audio_07CPC11-3128.txt,Opposed,14,26,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Denied
04-12-2012audio_04DIR09-2065.txt,Supportive,66,8,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
09-14-2017audio_9-10VTT-74444andCPC-2016-3683.txt,Supportive,264,60,20,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
4-28-09audio_03VTT-6583_ZA06-10260.txt,Unclear,0,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
02-14-2017audio_4VTT-73292.txt,Supportive,18,8,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
9-22-16audio_6CPC-2015-300-GPA.txt,Supportive,52,2,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
SLA09-17-2013audio_03DIR12-1217.txt,Supportive,12,4,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-09-17audio_11DIR-2017-2229.txt,Supportive,14,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
07-22-2010audio1_03APCSV09-1420.txt,Supportive,3,1,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
SV011212audio_03APCSV11-1192.txt,Supportive,10,2,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
04-27-2017audio_6CPC-2016-2865.txt,Supportive,52,8,6,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-24-2013audio_05CPC11-3128.txt,Supportive,22,11,6,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-14-17audio_6aCPC-2014-4942.txt,Supportive,8,2,6,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-8-16audio_6DIR-2014-4762.txt,Supportive,42,10,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
01-19-11audio_03APCW10-800.txt,Supportive,63,15,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
4-14-2016audio_8CPC-2014-491-VZC.txt,Supportive,28,2,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
01-13-2011audio_04CPC06-10241.txt,Supportive,129,29,12,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
07-13-2017audio_10CPC-2015-3028.txt,Supportive,4,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-16-17audio_6bCPC-2017-111.txt,Supportive,28,2,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
NV07-18-13audio_04ZA11-2575.txt,Supportive,116,30,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-09-17audio_6aCPC-2015-1158.txt,Unclear,0,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
SLA03-23-2012audio_03ZA11-3126.txt,Supportive,60,10,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
07-23-09audio_03APCSV08-1588.txt,Supportive,26,6,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
03-08-2012audio_05CPC10-31.txt,Supportive,100,6,18,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
08-27-09audio_05APCSV06-7312.txt,Supportive,4,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
07-13-2017audio_12DIR-2016-3999.txt,Supportive,4,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
04-14-2011audio_04CPC09-3488.txt,Supportive,48,7,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-24-2013audio_06CPC13-555.txt,Supportive,26,2,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-17-16audio_15CPC-2016-3257.txt,Supportive,126,10,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
"01-13-09audio_05VTT-65583,ZA06-10260.txt",Opposed,2,11,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Denied
11-17-16audio_9CPC-2015-3383.txt,Supportive,30,8,22,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-12-17audio_9-10VTT-74392andDIR-2016-3076.txt,Supportive,64,48,16,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
07-26-2011audio_03VTT-70608.txt,Unclear,0,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
9-22-16audio_5bCPC-2015-3338-DB.txt,Supportive,14,4,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
02-23-17audio_6VTT-73427and7CPC-2004-7308.txt,Supportive,196,28,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
04-20-2017audio_5bCPC-2016-4316.txt,Supportive,22,6,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
08-08-2013audio_09CPC12-3436.txt,Supportive,35,7,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-19-2013audio_06DIR12-2836.txt,Supportive,14,2,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-14-2010audio_05CPC09-944.txt,Supportive,6,2,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
02-02-2017audio_5ZA-2016-1555.txt,Unclear,0,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
WLA06-18-14audio_04APCW13-2800.txt,Unclear,1,1,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
10-10-2017audio_7AA-2016-3648-PMLA-CC-1A.txt,Supportive,104,22,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
07-01-10audio_06APCNV09-1608.txt,Supportive,24,9,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
01-12-2012audio_06CPC11-1770.txt,Supportive,52,2,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-12-2017audio_6AA-2016-3648-PMLA-CC-1A.txt,Supportive,138,18,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
05-03-2017audio_4Dir-2013-2966.txt,Opposed,22,42,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Denied
11-10-2011audio_04CPC09-3210.txt,Supportive,14,0,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-22-2013audio_04DIR12-1957.txt,Supportive,28,22,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-12-2013audio_04CPC12-1665.txt,Supportive,68,4,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
05-12-2011audio1_04APCSV11-225.txt,Supportive,4,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
SV082312audio_03APCSV11-2447.txt,Supportive,26,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
WLA07-16-14audio_03APCW13-2800.txt,Unclear,0,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
06-22-2017audio_9DIR-2016-2255.txt,Supportive,8,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-09-17audio_10CPC-2016-3748.txt,Supportive,12,2,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
06-22-2017audio_5aCPC-2016-1603.txt,Supportive,2,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
NV09-01-11audio_04APCNV06-8668.txt,Supportive,44,42,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
02-10-2011audio_06CPC06-10241.txt,Supportive,237,11,7,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
SV030812audio_03APCSV11-2447.txt,Unclear,0,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
09-24-13audio_07APCC13-581.txt,Supportive,16,2,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
09-14-2017audio_11-12VTT-74581andCPC-2016-3655.txt,Supportive,40,28,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
04-27-2017audio_5aCPC-2016-2751.txt,Supportive,6,2,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
06-28-2011audio_03VTT-70608.txt,Supportive,2,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
04-09-09audio_02CPC06-8043_VTT-63399.txt,Unclear,0,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
SV10-27-2011audio_03APCSV10-2589.txt,Unclear,0,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
3-24-09audio_03VTT-65583_ZA06-10260.txt,Unclear,0,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
12-12-2013audio_05CPC13-872.txt,Supportive,6,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
08-28-2014audio_10CPC14-335.txt,Supportive,12,4,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
08-23-2011audio_03ZA11-448.txt,Supportive,8,2,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
09-11-08audio1_09APCSV07-2656.txt,Unclear,0,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
07-13-2017audio_11DIR-2016-304.txt,Supportive,36,22,12,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
09-22-2011audio_04CPC11-1450.txt,Supportive,18,10,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
SV102617audio_6APCSV-2016-120-ZC-SPPA-SPP.txt,Supportive,66,9,6,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-13-2011audio_03DIR11-1324.txt,Unclear,6,6,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
11-17-16audio_7CPC-2015-3686.txt,Supportive,40,8,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
SV091213audio_03APCSV12-2487.txt,Supportive,44,8,1,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-07-2017audio_7ZA-2014-3309.txt,Supportive,36,18,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
NV09-19-13audio_03APCNV13-1187.txt,Supportive,22,6,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-24-2013audio_07CPC12-1665.txt,Supportive,34,5,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-09-2014audio_07CPC13-4134.txt,Supportive,23,1,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
01-12-2012audio_07CPC11-2043.txt,Unclear,12,2,12,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
4-14-09audio_07APCC08-3600.txt,Supportive,17,7,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
